AVAPS-T06 STA 231221570 240818 113818.57
AVAPS-T06 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T06 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T06 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T06 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D06 P00 231221570 240818 113835.25  873.25  24.64  20.75 177.52 244.96  -0.03  -27.493220  12.054792 99999.00  13  20.75 999.00  13  0.13 13319.08
AVAPS-D06 P10 231221570 240818 113835.50 9999.00  99.00 999.00 177.49 244.98  -0.05  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113835.75  873.06  24.64  20.74 177.47 244.99  -0.10  -27.493269  12.055896 99999.00  13  20.74 999.00  13  0.13 13319.04
AVAPS-D06 P10 231221570 240818 113836.00 9999.00  99.00 999.00 177.45 244.98  -0.11  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113836.25  873.14  24.64  20.73 177.42 245.00  -0.14  -27.493319  12.057000 99999.00  13  20.73 999.00  13  0.13 13318.98
AVAPS-D06 P10 231221570 240818 113836.50 9999.00  99.00 999.00 177.39 245.01  -0.10  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113836.75  873.18  24.64  20.74 177.36 245.01  -0.10  -27.493371  12.058104 99999.00  13  20.74 999.00  13  0.13 13318.93
AVAPS-D06 P10 231221570 240818 113837.00 9999.00  99.00 999.00 177.33 245.05  -0.12  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113837.25  873.16  24.64  20.72 177.31 245.02  -0.09  -27.493423  12.059208 99999.00  13  20.72 999.00  13  0.13 13318.89
AVAPS-D06 P10 231221570 240818 113837.50 9999.00  99.00 999.00 177.28 245.03  -0.09  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113837.75  873.18  24.65  20.71 177.25 245.04  -0.11  -27.493476  12.060312 99999.00  13  20.71 999.00  13  0.13 13318.86
AVAPS-D06 P10 231221570 240818 113838.00 9999.00  99.00 999.00 177.23 245.05  -0.11  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113838.25  873.20  24.65  20.74 177.20 245.06  -0.10  -27.493531  12.061416 99999.00  13  20.74 999.00  13  0.13 13318.83
AVAPS-D06 P10 231221570 240818 113838.50 9999.00  99.00 999.00 177.18 245.04  -0.08  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113838.75  873.11  24.65  20.71 177.16 245.03  -0.04  -27.493586  12.062520 99999.00  13  20.71 999.00  13  0.13 13318.80
AVAPS-D06 P10 231221570 240818 113839.00 9999.00  99.00 999.00 177.12 245.07  -0.07  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113839.25  873.22  24.65  20.73 177.10 245.06  -0.10  -27.493643  12.063624 99999.00  13  20.73 999.00  13  0.13 13318.78
AVAPS-D06 P10 231221570 240818 113839.50 9999.00  99.00 999.00 177.07 245.08  -0.11  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113839.75  873.20  24.66  20.71 177.04 245.07  -0.07  -27.493700  12.064728 99999.00  13  20.71 999.00  13  0.13 13318.75
AVAPS-D06 P10 231221570 240818 113840.00 9999.00  99.00 999.00 177.02 245.07  -0.08  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113840.25  873.11  24.66  20.72 176.99 245.10  -0.10  -27.493759  12.065831 99999.00  13  20.72 999.00  13  0.13 13318.72
AVAPS-D06 P10 231221570 240818 113840.50 9999.00  99.00 999.00 176.97 245.09  -0.13  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113840.75  873.19  24.66  20.70 176.94 245.09  -0.10  -27.493818  12.066935 99999.00  13  20.70 999.00  13  0.13 13318.66
AVAPS-D06 P10 231221570 240818 113841.00 9999.00  99.00 999.00 176.91 245.11  -0.15  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113841.25  873.23  24.66  20.73 176.89 245.10  -0.15  -27.493878  12.068039 99999.00  13  20.73 999.00  13  0.13 13318.61
AVAPS-D06 P10 231221570 240818 113841.50 9999.00  99.00 999.00 176.86 245.12  -0.17  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113841.75  873.21  24.66  20.71 176.83 245.11  -0.14  -27.493940  12.069143 99999.00  13  20.71 999.00  13  0.13 13318.54
AVAPS-D06 P10 231221570 240818 113842.00 9999.00  99.00 999.00 176.79 245.11  -0.15  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113842.25  873.40  24.66  20.70 176.77 245.12  -0.15  -27.494003  12.070247 99999.00  13  20.70 999.00  13  0.13 13318.47
AVAPS-D06 P10 231221570 240818 113842.50 9999.00  99.00 999.00 176.74 245.13  -0.14  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113842.75  873.26  24.66  20.66 176.72 245.13  -0.15  -27.494067  12.071351 99999.00  13  20.66 999.00  13  0.13 13318.41
AVAPS-D06 P10 231221570 240818 113843.00 9999.00  99.00 999.00 176.69 245.17  -0.17  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113843.25  873.14  24.67  20.68 176.66 245.15  -0.17  -27.494131  12.072455 99999.00  13  20.68 999.00  13  0.13 13318.34
AVAPS-D06 P10 231221570 240818 113843.50 9999.00  99.00 999.00 176.63 245.14  -0.15  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113843.75  873.16  24.67  20.71 176.60 245.14  -0.19  -27.494197  12.073558 99999.00  13  20.71 999.00  13  0.13 13318.27
AVAPS-D06 P10 231221570 240818 113844.00 9999.00  99.00 999.00 176.58 245.16  -0.21  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113844.25  873.24  24.67  20.73 176.55 245.18  -0.21  -27.494264  12.074662 99999.00  13  20.73 999.00  13  0.13 13318.18
AVAPS-D06 P10 231221570 240818 113844.50 9999.00  99.00 999.00 176.52 245.20  -0.19  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113844.75  873.21  24.67  20.72 176.49 245.19  -0.16  -27.494333  12.075766 99999.00  13  20.72 999.00  13  0.13 13318.10
AVAPS-D06 P10 231221570 240818 113845.00 9999.00  99.00 999.00 176.47 245.18  -0.12  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113845.25  873.10  24.67  20.69 176.44 245.18  -0.13  -27.494402  12.076870 99999.00  13  20.69 999.00  13  0.13 13318.04
