AVAPS-T02 STA 231050749 240818 104946.50
AVAPS-T02 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T02 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T02 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T02 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D02 P10 231050749 240818 104952.00 9999.00  99.00 999.00  61.96 259.18  -0.30  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 104952.25  872.11  28.48  28.00  61.93 259.24   0.15  -27.376433  13.692962 99999.00  12  28.00 999.00  12  0.13 13326.87
AVAPS-D02 P10 231050749 240818 104952.50 9999.00  99.00 999.00  61.96 259.22  -0.39  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D02 P00 231050749 240818 104952.75  872.00  28.48  28.01  61.97 259.19  -0.40  -27.377488  13.692412 99999.00  12  28.01 999.00  12  0.11 13326.89
AVAPS-D02 P10 231050749 240818 104953.00 9999.00  99.00 999.00  62.03 258.93  -1.77  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.36 99999.00
AVAPS-D02 P00 231050749 240818 104953.25  871.86  28.48  28.00  61.95 259.16  -0.25  -27.378543  13.691864 99999.00  12  28.00 999.00  12  0.12 13326.56
AVAPS-D02 P10 231050749 240818 104953.50 9999.00  99.00 999.00  61.95 259.17  -0.18  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 104953.75  871.93  28.48  28.01  61.95 259.15  -0.24  -27.379599  13.691314 99999.00  12  28.01 999.00  12  0.12 13326.52
AVAPS-D02 P10 231050749 240818 104954.00 9999.00  99.00 999.00  61.98 259.17  -0.67  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 104954.25  872.04  28.48  28.01  61.95 259.22  -0.16  -27.380654  13.690764 99999.00  12  28.01 999.00  12  0.13 13326.48
AVAPS-D02 P10 231050749 240818 104954.50 9999.00  99.00 999.00  61.94 259.22   0.07  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.20 99999.00
AVAPS-D02 P00 231050749 240818 104954.75  872.04  28.47  28.00  61.94 259.20  -0.07  -27.381709  13.690213 99999.00  12  28.00 999.00  12  0.18 13326.66
AVAPS-D02 P10 231050749 240818 104955.00 9999.00  99.00 999.00  61.95 259.14  -0.22  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D02 P00 231050749 240818 104955.25  872.03  28.48  27.98  61.94 259.22  -0.00  -27.382765  13.689663 99999.00  12  27.98 999.00  12  0.13 13326.67
AVAPS-D02 P10 231050749 240818 104955.50 9999.00  99.00 999.00  61.94 259.21  -0.07  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 104955.75  871.99  28.48  27.98  61.94 259.17  -0.09  -27.383820  13.689113 99999.00  12  27.98 999.00  12  0.12 13326.61
AVAPS-D02 P10 231050749 240818 104956.00 9999.00  99.00 999.00  61.94 259.17  -0.11  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 104956.25  872.07  28.48  27.95  61.97 259.17  -0.47  -27.384875  13.688563 99999.00  12  27.95 999.00  12  0.13 13326.66
AVAPS-D02 P10 231050749 240818 104956.50 9999.00  99.00 999.00  61.93 259.20   0.07  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 104956.75  872.15  28.47  27.94  61.94 259.20  -0.01  -27.385930  13.688013 99999.00  12  27.94 999.00  12  0.12 13326.61
AVAPS-D02 P10 231050749 240818 104957.00 9999.00  99.00 999.00  61.94 259.20  -0.02  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 104957.25  872.23  28.47  27.96  61.94 259.16  -0.03  -27.386985  13.687463 99999.00  12  27.96 999.00  12  0.12 13326.58
AVAPS-D02 P10 231050749 240818 104957.50 9999.00  99.00 999.00  61.94 259.16  -0.01  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 104957.75  872.15  28.48  27.93  61.93 259.19   0.03  -27.388039  13.686913 99999.00  12  27.93 999.00  12  0.12 13326.57
AVAPS-D02 P10 231050749 240818 104958.00 9999.00  99.00 999.00  61.94 259.16   0.05  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 104958.25  872.21  28.48  27.90  61.94 259.17   0.02  -27.389094  13.686363 99999.00  12  27.90 999.00  12  0.12 13326.60
AVAPS-D02 P10 231050749 240818 104958.50 9999.00  99.00 999.00  61.93 259.15   0.06  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 104958.75  872.24  28.48  27.89  61.94 259.16   0.06  -27.390148  13.685813 99999.00  12  27.89 999.00  12  0.12 13326.68
AVAPS-D02 P10 231050749 240818 104959.00 9999.00  99.00 999.00  61.94 259.19   0.03  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 104959.25  872.24  28.48  27.86  61.94 259.15   0.05  -27.391203  13.685263 99999.00  12  27.86 999.00  12  0.11 13326.72
AVAPS-D02 P10 231050749 240818 104959.50 9999.00  99.00 999.00  61.94 259.16   0.09  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D02 P00 231050749 240818 104959.75  872.17  28.48  27.88  61.94 259.14  -0.00  -27.392258  13.684714 99999.00  12  27.88 999.00  12  0.16 13326.62
AVAPS-D02 P10 231050749 240818 105000.00 9999.00  99.00 999.00  61.92 259.13   0.27  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.14 99999.00
AVAPS-D02 P00 231050749 240818 105000.25  872.25  28.48  27.86  61.93 259.16   0.14  -27.393313  13.684164 99999.00  12  27.86 999.00  12  0.12 13326.67
AVAPS-D02 P10 231050749 240818 105000.50 9999.00  99.00 999.00  61.92 259.13   0.27  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D02 P00 231050749 240818 105000.75  872.25  28.48  27.86  61.94 259.16   0.06  -27.394367  13.683614 99999.00  12  27.86 999.00  12  0.12 13326.79
AVAPS-D02 P10 231050749 240818 105001.00 9999.00  99.00 999.00  61.94 259.13   0.09  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D02 P00 231050749 240818 105001.25  872.37  28.48  27.85  61.93 259.12   0.18  -27.395422  13.683064 99999.00  12  27.85 999.00  12  0.12 13326.84
AVAPS-D02 P10 231050749 240818 105001.50 9999.00  99.00 999.00  61.95 259.14  -0.12  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.15 99999.00
AVAPS-D02 P00 231050749 240818 105001.75  872.25  28.48  27.86  61.93 259.13   0.22  -27.396477  13.682515 99999.00  12  27.86 999.00  12  0.11 13326.85
AVAPS-D02 P10 231050749 240818 105002.00 9999.00  99.00 999.00  61.95 259.09  -0.03  999.000000  99.000000 99999.00   9 999.00 999.00   9  0.16 99999.00
AVAPS-D02 P00 231050749 240818 105002.25  872.31  28.48  27.83  61.94 259.11   0.21  -27.397531  13.681965 99999.00  12  27.83 999.00  12  0.16 13326.82
AVAPS-D02 P10 231050749 240818 105002.50 9999.00  99.00 999.00  61.93 259.08   0.30  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.15 99999.00
AVAPS-D02 P00 231050749 240818 105002.75  872.37  28.48  27.84  61.94 259.11   0.13  -27.398586  13.681416 99999.00  12  27.84 999.00  12  0.18 13326.81
AVAPS-D02 P10 231050749 240818 105003.00 9999.00  99.00 999.00  61.95 259.14   0.07  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.18 99999.00
AVAPS-D02 P00 231050749 240818 105003.25  872.37  28.48  27.83  61.94 259.10   0.19  -27.399640  13.680867 99999.00  12  27.83 999.00  12  0.17 13326.66
AVAPS-D02 P10 231050749 240818 105003.50 9999.00  99.00 999.00  61.93 259.15   0.19  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.16 99999.00
AVAPS-D02 P00 231050749 240818 105003.75  872.49  28.48  27.85  61.94 259.09   0.13  -27.400695  13.680318 99999.00  12  27.85 999.00  12  0.15 13326.44
AVAPS-D02 P10 231050749 240818 105004.00 9999.00  99.00 999.00  61.93 259.09   0.20  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D02 P00 231050749 240818 105004.25  872.30  28.48  27.87  61.93 259.09   0.23  -27.401749  13.679768 99999.00  12  27.87 999.00  12  0.13 13326.38
AVAPS-D02 P10 231050749 240818 105004.50 9999.00  99.00 999.00  61.94 259.07   0.19  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231050749 240818 105004.75  872.47  28.48  27.84  61.93 259.11   0.18  -27.402803  13.679218 99999.00  12  27.84 999.00  12  0.17 13326.41
AVAPS-D02 P10 231050749 240818 105005.00 9999.00  99.00 999.00  61.94 259.10   0.23  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.17 99999.00
AVAPS-D02 P00 231050749 240818 105005.25  872.38  28.48  27.86  61.94 259.07   0.16  -27.403857  13.678669 99999.00  12  27.86 999.00  12  0.25 13326.36
AVAPS-D02 P10 231050749 240818 105005.50 9999.00  99.00 999.00  61.94 259.09   0.10  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.25 99999.00
AVAPS-D02 P00 231050749 240818 105005.75  872.50  28.48  27.85  61.93 259.07   0.11  -27.404911  13.678120 99999.00  12  27.85 999.00  12  0.27 13326.43
AVAPS-D02 P10 231050749 240818 105006.00 9999.00  99.00 999.00  61.94 259.04   0.04  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.30 99999.00
AVAPS-D02 P00 231050749 240818 105006.25  872.51  28.48  27.86  61.94 259.07   0.13  -27.405965  13.677570 99999.00  12  27.86 999.00  12  0.29 13326.52
AVAPS-D02 P10 231050749 240818 105006.50 9999.00  99.00 999.00  61.94 259.14   0.15  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.29 99999.00
AVAPS-D02 P00 231050749 240818 105006.75  872.48  28.48  27.88  61.92 259.06   0.17  -27.407020  13.677020 99999.00  12  27.88 999.00  12  0.30 13326.65
AVAPS-D02 P10 231050749 240818 105007.00 9999.00  99.00 999.00  61.93 259.01   0.17  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.31 99999.00
AVAPS-D02 P00 231050749 240818 105007.25  872.45  28.48  27.85  61.94 259.03   0.15  -27.408074  13.676470 99999.00  12  27.85 999.00  12  0.29 13326.73
AVAPS-D02 P10 231050749 240818 105007.50 9999.00  99.00 999.00  61.95 259.06   0.12  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.25 99999.00
AVAPS-D02 P00 231050749 240818 105007.75  872.56  28.48  27.84  61.94 259.08  -0.04  -27.409128  13.675921 99999.00  12  27.84 999.00  12  0.29 13326.75
AVAPS-D02 P10 231050749 240818 105008.00 9999.00  99.00 999.00  61.95 259.05  -0.13  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.45 99999.00
AVAPS-D02 P00 231050749 240818 105008.25  872.46  28.47  27.86  61.94 259.05   0.06  -27.410182  13.675369 99999.00  12  27.86 999.00  12  0.11 13327.36
AVAPS-D02 P10 231050749 240818 105008.50 9999.00  99.00 999.00  61.94 259.06   0.02  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D02 P00 231050749 240818 105008.75  872.47  28.47  27.85  61.93 259.05   0.14  -27.411236  13.674816 99999.00  12  27.85 999.00  12  0.11 13328.12
AVAPS-D02 P10 231050749 240818 105009.00 9999.00  99.00 999.00  61.94 259.06   0.07  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D02 P00 231050749 240818 105009.25  872.58  28.47  27.86  61.93 259.05   0.04  -27.412290  13.674265 99999.00  12  27.86 999.00  12  0.11 13328.65
AVAPS-D02 P10 231050749 240818 105009.50 9999.00  99.00 999.00  61.94 259.05   0.05  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
