AVAPS-T01 STA 232150627 240818 142638.75
AVAPS-T01 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T01 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T01 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T01 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D01 P00 232150627 240818 142644.00  856.54  20.82  23.98  45.40 254.01   0.18  -30.682049   1.916230 99999.00  12  23.98 999.00  12  0.13 13874.98
AVAPS-D01 P10 232150627 240818 142644.25 9999.00  99.00 999.00  45.42 254.01   0.03  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D01 P00 232150627 240818 142644.50  856.64  20.81  23.97  45.38 254.05   1.31  -30.682860   1.915426 99999.00  12  23.97 999.00  12  0.13 13875.23
AVAPS-D01 P10 232150627 240818 142644.75 9999.00  99.00 999.00  45.41 253.79   0.54  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.24 99999.00
AVAPS-D01 P00 232150627 240818 142645.00  856.51  20.81  23.96  45.51 254.00  -0.01  -30.683671   1.914622 99999.00  12  23.96 999.00  12  0.22 13875.54
AVAPS-D01 P10 232150627 240818 142645.25 9999.00  99.00 999.00  45.53 254.05   0.80  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.18 99999.00
AVAPS-D01 P00 232150627 240818 142645.50  856.61  20.82  23.98  45.61 253.98  -0.16  -30.684484   1.913819 99999.00  10  23.98 999.00  10  0.24 13875.69
AVAPS-D01 P10 232150627 240818 142645.75 9999.00  99.00 999.00  45.67 254.08   0.37  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D01 P00 232150627 240818 142646.00  856.67  20.82  23.95  45.72 254.04   0.54  -30.685300   1.913019 99999.00  12  23.95 999.00  12  0.13 13875.58
AVAPS-D01 P10 232150627 240818 142646.25 9999.00  99.00 999.00  45.79 254.07   0.36  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D01 P00 232150627 240818 142646.50  856.63  20.81  23.99  45.87 254.05   0.58  -30.686118   1.912220 99999.00  12  23.99 999.00  12  0.13 13875.70
