AVAPS-T02 STA 231221532 240818 142824.41
AVAPS-T02 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T02 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T02 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T02 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D02 P10 231221532 240818 142830.00 9999.00  99.00 999.00 112.72 260.36  -0.15  999.000000  99.000000 99999.00  11 999.00 999.00  11  0.14 99999.00
AVAPS-D02 P00 231221532 240818 142830.25  856.88  19.69  29.26 112.75 260.60  -0.50  -30.912790   1.909823 99999.00  10  29.26 999.00  10  0.18 13878.79
AVAPS-D02 P10 231221532 240818 142830.50 9999.00  99.00 999.00 112.81 260.37  -0.35  999.000000  99.000000 99999.00  11 999.00 999.00  11  0.14 99999.00
AVAPS-D02 P00 231221532 240818 142830.75  856.90  19.69  29.20 112.84 260.35   0.13  -30.913867   1.910278 99999.00  11  29.20 999.00  11  0.15 13879.20
AVAPS-D02 P10 231221532 240818 142831.00 9999.00  99.00 999.00 112.89 260.37   0.03  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.15 99999.00
AVAPS-D02 P00 231221532 240818 142831.25  856.90  19.69  29.24 112.93 260.36  -0.04  -30.914942   1.910734 99999.00  10  29.24 999.00  10  0.13 13879.66
AVAPS-D02 P10 231221532 240818 142831.50 9999.00  99.00 999.00 112.97 260.41  -0.18  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D02 P00 231221532 240818 142831.75  856.92  19.68  29.29 113.01 260.34   0.27  -30.916016   1.911191 99999.00  12  29.29 999.00  12  0.12 13881.06
AVAPS-D02 P10 231221532 240818 142832.00 9999.00  99.00 999.00 113.06 260.33   0.10  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142832.25  856.93  19.68  29.29 113.11 260.30   0.13  -30.917089   1.911649 99999.00  12  29.29 999.00  12  0.12 13881.94
AVAPS-D02 P10 231221532 240818 142832.50 9999.00  99.00 999.00 113.14 260.31   0.06  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142832.75  857.00  19.78  11.82 113.19 260.32   0.15  -30.918162   1.912110 99999.00  12  11.82 999.00  12  0.12 13882.15
AVAPS-D02 P10 231221532 240818 142833.00 9999.00  99.00 999.00 113.23 260.31   0.32  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142833.25  857.03  19.80   8.61 113.27 260.29   0.02  -30.919235   1.912573 99999.00  12   8.61 999.00  12  0.12 13882.32
AVAPS-D02 P10 231221532 240818 142833.50 9999.00  99.00 999.00 113.32 260.29   0.15  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D02 P00 231221532 240818 142833.75  857.08  19.77   8.22 113.38 260.24   0.06  -30.920306   1.913037 99999.00  12   8.22 999.00  12  0.13 13882.62
AVAPS-D02 P10 231221532 240818 142834.00 9999.00  99.00 999.00 113.41 260.27  -0.10  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.15 99999.00
AVAPS-D02 P00 231221532 240818 142834.25  857.03  19.77   8.14 113.44 260.29   0.01  -30.921376   1.913504 99999.00  12   8.14 999.00  12  0.14 13882.25
AVAPS-D02 P10 231221532 240818 142834.50 9999.00  99.00 999.00 113.49 260.24   0.05  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D02 P00 231221532 240818 142834.75  857.12  19.86   8.86 113.53 260.27   0.03  -30.922447   1.913973 99999.00  12   8.86 999.00  12  0.14 13881.60
AVAPS-D02 P10 231221532 240818 142835.00 9999.00  99.00 999.00 113.57 260.23   0.04  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.14 99999.00
AVAPS-D02 P00 231221532 240818 142835.25  857.12  20.01   8.26 113.61 260.20   0.10  -30.923517   1.914443 99999.00  12   8.26 999.00  12  0.13 13881.47
AVAPS-D02 P10 231221532 240818 142835.50 9999.00  99.00 999.00 113.65 260.23   0.05  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D02 P00 231221532 240818 142835.75  857.10  20.15   8.63 113.70 260.19  -0.02  -30.924585   1.914913 99999.00  12   8.63 999.00  12  0.12 13881.90
AVAPS-D02 P10 231221532 240818 142836.00 9999.00  99.00 999.00 113.73 260.31   0.14  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.24 99999.00
AVAPS-D02 P00 231221532 240818 142836.25  857.11  20.24   8.33 113.77 260.24   0.08  -30.925652   1.915385 99999.00  11   8.33 999.00  11  0.19 13882.31
AVAPS-D02 P10 231221532 240818 142836.50 9999.00  99.00 999.00 113.81 260.19  -0.18  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142836.75  857.07  20.39   8.63 113.91 260.41  -0.34  -30.926719   1.915858 99999.00  12   8.63 999.00  12  0.16 13883.35
AVAPS-D02 P10 231221532 240818 142837.00 9999.00  99.00 999.00 113.90 260.14  -0.21  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D02 P00 231221532 240818 142837.25  857.13  20.42   8.61 113.93 260.20  -0.14  -30.927786   1.916334 99999.00  12   8.61 999.00  12  0.12 13883.39
AVAPS-D02 P10 231221532 240818 142837.50 9999.00  99.00 999.00 113.98 260.16  -0.18  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142837.75  857.10  20.34   7.43 114.02 260.17  -0.29  -30.928853   1.916811 99999.00  12   7.43 999.00  12  0.13 13883.35
AVAPS-D02 P10 231221532 240818 142838.00 9999.00  99.00 999.00 114.05 260.19  -0.32  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142838.25  857.06  20.21   7.50 114.10 260.14  -0.25  -30.929918   1.917289 99999.00  12   7.50 999.00  12  0.12 13883.19
AVAPS-D02 P10 231221532 240818 142838.50 9999.00  99.00 999.00 114.14 260.14  -0.14  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142838.75  857.14  20.22   7.63 114.17 260.18  -0.16  -30.930983   1.917769 99999.00  12   7.63 999.00  12  0.12 13883.09
AVAPS-D02 P10 231221532 240818 142839.00 9999.00  99.00 999.00 114.21 260.15  -0.25  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142839.25  857.17  20.18   7.39 114.26 260.09  -0.35  -30.932047   1.918250 99999.00  12   7.39 999.00  12  0.12 13882.94
AVAPS-D02 P10 231221532 240818 142839.50 9999.00  99.00 999.00 114.27 260.27   0.14  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.19 99999.00
AVAPS-D02 P00 231221532 240818 142839.75  857.13  20.11   7.77 114.33 260.13  -0.43  -30.933111   1.918733 99999.00  12   7.77 999.00  12  0.12 13882.84
AVAPS-D02 P10 231221532 240818 142840.00 9999.00  99.00 999.00 114.36 260.07  -0.31  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.16 99999.00
AVAPS-D02 P00 231221532 240818 142840.25  857.23  20.06   7.67 114.38 259.58  -1.70  -30.934173   1.919217 99999.00  12   7.67 999.00  12  0.38 13882.38
AVAPS-D02 P10 231221532 240818 142840.50 9999.00  99.00 999.00 114.37 260.20   0.06  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.33 99999.00
AVAPS-D02 P00 231221532 240818 142840.75  857.23  20.01   7.92 114.45 260.18  -0.44  -30.935235   1.919701 99999.00  12   7.92 999.00  12  0.21 13881.98
AVAPS-D02 P10 231221532 240818 142841.00 9999.00  99.00 999.00 114.50 260.18  -0.32  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.19 99999.00
AVAPS-D02 P00 231221532 240818 142841.25  857.12  19.98   7.84 114.55 260.07  -0.19  -30.936297   1.920188 99999.00  12   7.84 999.00  12  0.14 13881.53
AVAPS-D02 P10 231221532 240818 142841.50 9999.00  99.00 999.00 114.59 260.07  -0.14  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142841.75  857.18  20.00   7.87 114.64 260.08  -0.15  -30.937358   1.920676 99999.00  12   7.87 999.00  12  0.12 13881.84
AVAPS-D02 P10 231221532 240818 142842.00 9999.00  99.00 999.00 114.66 260.09  -0.09  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142842.25  857.24  19.99   8.21 114.71 260.05  -0.16  -30.938418   1.921166 99999.00  12   8.21 999.00  12  0.12 13881.95
AVAPS-D02 P10 231221532 240818 142842.50 9999.00  99.00 999.00 114.74 260.01  -0.16  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142842.75  857.26  19.82   8.02 114.76 260.09  -0.03  -30.939478   1.921657 99999.00  12   8.02 999.00  12  0.12 13881.99
AVAPS-D02 P10 231221532 240818 142843.00 9999.00  99.00 999.00 114.82 259.98  -0.12  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142843.25  857.26  19.67   8.84 114.84 260.04  -0.09  -30.940536   1.922149 99999.00  12   8.84 999.00  12  0.12 13881.94
AVAPS-D02 P10 231221532 240818 142843.50 9999.00  99.00 999.00 114.88 260.03   0.06  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142843.75  857.25  18.74   7.40 114.91 260.07  -0.00  -30.941594   1.922643 99999.00  12   7.40 999.00  12  0.31 13882.41
AVAPS-D02 P10 231221532 240818 142844.00 9999.00  99.00 999.00 114.96 260.02   0.07  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142844.25  857.33  17.59   7.01 114.99 260.04   0.09  -30.942651   1.923138 99999.00  12   7.01 999.00  12  0.12 13882.77
AVAPS-D02 P10 231221532 240818 142844.50 9999.00  99.00 999.00 115.03 260.01   0.08  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D02 P00 231221532 240818 142844.75  857.34  16.28   7.42 115.07 260.01  -0.02  -30.943708   1.923635 99999.00  12   7.42 999.00  12  0.16 13882.67
AVAPS-D02 P10 231221532 240818 142845.00 9999.00  99.00 999.00 115.10 259.99   0.22  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.16 99999.00
AVAPS-D02 P11 231221532 240818 142845.25 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P11 231221532 240818 142845.50 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P11 231221532 240818 142845.75 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P11 231221532 240818 142846.00 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P11 231221532 240818 142846.25 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P11 231221532 240818 142846.50 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P11 231221532 240818 142846.75 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P11 231221532 240818 142847.00 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P11 231221532 240818 142847.25 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P11 231221532 240818 142847.50 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
