AVAPS-T01 STA 231431370 240818 104729.76
AVAPS-T01 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T01 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T01 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T01 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D01 P00 231431370 240818 104737.00  872.28  28.81  22.20  62.02 258.74  -0.00  -27.091241  13.841323 99999.00  12  22.20 999.00  12  0.11 13330.99
AVAPS-D01 P10 231431370 240818 104737.25 9999.00  99.00 999.00  62.01 258.71   0.18  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D01 P00 231431370 240818 104737.50  872.34  28.81  22.21  62.03 258.72  -0.06  -27.092295  13.840775 99999.00  12  22.21 999.00  12  0.12 13331.19
AVAPS-D01 P10 231431370 240818 104737.75 9999.00  99.00 999.00  62.00 258.70   0.27  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D01 P00 231431370 240818 104738.00  872.34  28.81  22.21  62.01 258.69   0.18  -27.093348  13.840228 99999.00  12  22.21 999.00  12  0.11 13331.21
AVAPS-D01 P10 231431370 240818 104738.25 9999.00  99.00 999.00  62.00 258.69   0.34  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D01 P00 231431370 240818 104738.50  872.38  28.81  22.22  62.00 258.69   0.47  -27.094402  13.839680 99999.00  12  22.22 999.00  12  0.11 13331.16
AVAPS-D01 P10 231431370 240818 104738.75 9999.00  99.00 999.00  62.00 258.70   0.37  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.12 99999.00
AVAPS-D01 P00 231431370 240818 104739.00  872.20  28.81  22.22  62.01 258.69   0.13  -27.095456  13.839133 99999.00  12  22.22 999.00  12  0.11 13331.15
AVAPS-D01 P10 231431370 240818 104739.25 9999.00  99.00 999.00  62.02 258.70   0.11  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D01 P00 231431370 240818 104739.50  872.39  28.81  22.21  62.00 258.68   0.31  -27.096510  13.838586 99999.00  12  22.21 999.00  12  0.11 13330.89
