AVAPS-T03 STA 230230466 240818 143008.68
AVAPS-T03 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T03 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T03 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T03 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D03 P00 230230466 240818 143015.00  856.42  20.03  26.95 125.94 258.97   0.09  -31.123984   2.031419 99999.00  12  26.95 999.00  12  0.14 13878.25
AVAPS-D03 P10 230230466 240818 143015.25 9999.00  99.00 999.00 125.97 258.95   0.09  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D03 P00 230230466 240818 143015.50  856.63  20.03  26.96 125.99 258.94   0.08  -31.124923   2.032104 99999.00  12  26.96 999.00  12  0.11 13877.75
AVAPS-D03 P10 230230466 240818 143015.75 9999.00  99.00 999.00 126.01 258.96   0.15  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D03 P00 230230466 240818 143016.00  856.64  20.03  26.91 126.04 258.94   0.14  -31.125863   2.032790 99999.00  12  26.91 999.00  12  0.11 13877.62
AVAPS-D03 P10 230230466 240818 143016.25 9999.00  99.00 999.00 126.07 258.92   0.11  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D03 P00 230230466 240818 143016.50  856.39  20.03  26.92 126.10 258.92   0.07  -31.126801   2.033477 99999.00  12  26.92 999.00  12  0.12 13877.64
AVAPS-D03 P10 230230466 240818 143016.75 9999.00  99.00 999.00 126.13 258.94  -0.13  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D03 P00 230230466 240818 143017.00  856.62  20.03  26.92 126.16 258.91  -0.04  -31.127740   2.034165 99999.00  12  26.92 999.00  12  0.11 13877.93
AVAPS-D03 P10 230230466 240818 143017.25 9999.00  99.00 999.00 126.19 258.90  -0.04  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D03 P00 230230466 240818 143017.50  856.52  20.04  26.92 126.22 258.89   0.03  -31.128677   2.034854 99999.00  12  26.92 999.00  12  0.12 13877.92
AVAPS-D03 P10 230230466 240818 143017.75 9999.00  99.00 999.00 126.26 258.90   0.07  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.11 99999.00
AVAPS-D03 P00 230230466 240818 143018.00  856.49  20.04  26.88 126.30 258.87   0.09  -31.129614   2.035544 99999.00  12  26.88 999.00  12  0.11 13878.07
AVAPS-D03 P10 230230466 240818 143018.25 9999.00  99.00 999.00 126.33 258.85   0.13  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D03 P00 230230466 240818 143018.50  856.53  20.05  26.89 126.35 258.86   0.12  -31.130548   2.036235 99999.00  12  26.89 999.00  12  0.11 13878.50
AVAPS-D03 P10 230230466 240818 143018.75 9999.00  99.00 999.00 126.38 258.86   0.09  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
AVAPS-D03 P00 230230466 240818 143019.00  856.65  20.05  26.91 126.41 258.86   0.05  -31.131483   2.036927 99999.00  12  26.91 999.00  12  0.11 13878.92
AVAPS-D03 P10 230230466 240818 143019.25 9999.00  99.00 999.00 126.45 258.87  -0.00  999.000000  99.000000 99999.00  12 999.00 999.00  12  0.13 99999.00
