AVAPS-T01 STA 233340720 240926 144320.71
AVAPS-T01 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T01 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T01 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T01 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D01 P00 233340720 240926 144327.00  855.31  22.58  20.44   9.83 222.62   0.12  -54.168890  11.891678 99999.00  10  20.44 999.00  10  0.13 13889.87
AVAPS-D01 P10 233340720 240926 144327.25 9999.00  99.00 999.00   9.86 222.63  -0.26  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D01 P00 233340720 240926 144327.50  855.40  22.58  20.50   9.83 222.68   0.28  -54.169065  11.890688 99999.00  10  20.50 999.00  10  0.13 13890.02
AVAPS-D01 P10 233340720 240926 144327.75 9999.00  99.00 999.00   9.83 222.68   0.38  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D01 P00 233340720 240926 144328.00  855.31  22.58  20.52   9.85 222.64  -0.03  -54.169239  11.889699 99999.00  10  20.52 999.00  10  0.13 13890.18
AVAPS-D01 P10 233340720 240926 144328.25 9999.00  99.00 999.00   9.84 222.66   0.22  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D01 P00 233340720 240926 144328.50  855.35  22.58  20.46   9.84 222.69   1.12  -54.169413  11.888709 99999.00  10  20.46 999.00  10  0.31 13890.42
AVAPS-D01 P10 233340720 240926 144328.75 9999.00  99.00 999.00   9.86 222.82   0.30  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.47 99999.00
AVAPS-D01 P00 233340720 240926 144329.00  855.51  22.58  20.46   9.84 222.68   0.31  -54.169587  11.887719 99999.00  10  20.46 999.00  10  0.19 13890.79
AVAPS-D01 P10 233340720 240926 144329.25 9999.00  99.00 999.00   9.85 222.70   0.11  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D01 P00 233340720 240926 144329.50  855.27  22.58  20.49   9.84 222.69   0.32  -54.169761  11.886729 99999.00  10  20.49 999.00  10  0.13 13891.03
