IWG1_NAMES,TIME,LATref,LONref,ALTref,GPS_GeoidHt.3,ALTPAft.d,AltRaft.1,GS.d,TAS.d,IAS.d,MACH.d,GSZref,THDGref,TRK.d,DA.d,PITCHref,ROLLref,SA.d,AA.d,TA.d,TD.c,TTMref,PS.c,PQ.c,PCAB.1,WS.d,WD.d,UWZ.d,none,none,none,none,FLID,MISSIONID,STORMID,AccZfilterI-GPS.1,AccZfilterI-GPS.2,ACCZref,AccZI-GPS.1,AccZI-GPS.2,AltBCADDU.1,ALTGA.d,AltGPS.1,AltGPS.2,AltGPS.3,AltGPS.4,AltI-GPS.1,AltI-GPS.2,ALTPA.d,AltRa.1,AltRa.2,AltRa1.c,AltRa2.c,ASfmrWS.1,ASfmrRainRate.1,ASfmrTB.1,ASfmrTB.2,ASfmrTB.3,ASfmrTB.4,ASfmrTB.5,ASfmrTB.6,COURSEcorr.d,DV.d,GPS_AltErr.3,GPS_AltErr.4,GSXref,GSYref,GPS_Quality.3,GPS_Quality.4,HT.d,HUM_ABS.d,HUM_REL.d,IASkt.d,LatGPS.1,LatGPS.2,LatGPS.3,LatGPS.4,LatI-GPS.1,LatI-GPS.2,LonGPS.1,LonGPS.2,LonGPS.3,LonGPS.4,LonI-GPS.1,LonI-GPS.2,MDSHOUR.1,MDSMINUTE.1,MDSSECOND.1,MR.d,PDALPHA.1,PDALPHA.2,PDBETA.1,PDBETA.2,PitchI-GPS.1,PitchI-GPS.2,PitchI-GPS.3,PitchI-GPS.4,PQALPHA.1,PQBETA.1,PQM.1,PQM.2,PQM.3,PQM.4,PSM.1,PSM.2,PSURF.d,PTM.1,RollI-GPS.1,RollI-GPS.2,RollI-GPS.3,RollI-GPS.4,SfmrRainRate.1,SfmrT.6,SfmrT.7,SfmrWS.1,SST.1,Salinity.1,TASkt.d,TDM.1,TDM.2,TDM.3,THdgI-GPS.1,THdgI-GPS.2,THdgI-GPS.3,THdgI-GPS.4,THETA.d,THETAE.d,THETAV.d,TRadD.1,TRadS.1,TRKdesired.d,TTM.1,TTM.2,TVIRT.d
IWG1,20200117T120729,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.66,,,,,,,,,,,,,,,,,,,4.31,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1_NAMES,TIME,LATref,LONref,ALTref,GPS_GeoidHt.3,ALTPAft.d,AltRaft.1,GS.d,TAS.d,IAS.d,MACH.d,GSZref,THDGref,TRK.d,DA.d,PITCHref,ROLLref,SA.d,AA.d,TA.d,TD.c,TTMref,PS.c,PQ.c,PCAB.1,WS.d,WD.d,UWZ.d,none,none,none,none,FLID,MISSIONID,STORMID,AccZfilterI-GPS.1,AccZfilterI-GPS.2,ACCZref,AccZI-GPS.1,AccZI-GPS.2,AltBCADDU.1,ALTGA.d,AltGPS.1,AltGPS.2,AltGPS.3,AltGPS.4,AltI-GPS.1,AltI-GPS.2,ALTPA.d,AltRa.1,AltRa.2,AltRa1.c,AltRa2.c,ASfmrWS.1,ASfmrRainRate.1,ASfmrTB.1,ASfmrTB.2,ASfmrTB.3,ASfmrTB.4,ASfmrTB.5,ASfmrTB.6,COURSEcorr.d,DV.d,GPS_AltErr.3,GPS_AltErr.4,GSXref,GSYref,GPS_Quality.3,GPS_Quality.4,HT.d,HUM_ABS.d,HUM_REL.d,IASkt.d,LatGPS.1,LatGPS.2,LatGPS.3,LatGPS.4,LatI-GPS.1,LatI-GPS.2,LonGPS.1,LonGPS.2,LonGPS.3,LonGPS.4,LonI-GPS.1,LonI-GPS.2,MDSHOUR.1,MDSMINUTE.1,MDSSECOND.1,MR.d,PDALPHA.1,PDALPHA.2,PDBETA.1,PDBETA.2,PitchI-GPS.1,PitchI-GPS.2,PitchI-GPS.3,PitchI-GPS.4,PQALPHA.1,PQBETA.1,PQM.1,PQM.2,PQM.3,PQM.4,PSM.1,PSM.2,PSURF.d,PTM.1,RollI-GPS.1,RollI-GPS.2,RollI-GPS.3,RollI-GPS.4,SfmrRainRate.1,SfmrT.6,SfmrT.7,SfmrWS.1,SST.1,Salinity.1,TASkt.d,TDM.1,TDM.2,TDM.3,THdgI-GPS.1,THdgI-GPS.2,THdgI-GPS.3,THdgI-GPS.4,THETA.d,THETAE.d,THETAV.d,TRadD.1,TRadS.1,TRKdesired.d,TTM.1,TTM.2,TVIRT.d
IWG1,20200117T120731,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,52.96,,,,,,,,,,,,,,,,,,,3.23,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120732,,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.52,,,,,,,,,,,,,,,,,,,3.44,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.00,935.00,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120733,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.55,,,,,,,,,,,,,,,,,,,3.24,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120734,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.71,,,,,,,,,,,,,,,,,,,3.18,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120736,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.71,,,,,,,,,,,,,,,,,,,3.24,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120737,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.60,,,,,,,,,,,,,,,,,,,3.15,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120738,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.72,,,,,,,,,,,,,,,,,,,3.20,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,,,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120740,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.61,,,,,,,,,,,,,,,,,,,2.99,,,,8.55,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120741,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.59,,,,,,,,,,,,,,,,,,,3.03,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120742,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.69,,,,,,,,,,,,,,,,,,,3.26,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120743,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.70,,,,,,,,,,,,,,,,,,,3.17,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120745,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.69,,,,,,,,,,,,,,,,,,,3.01,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120746,,,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,56.21,,,,,,,,,,,,,,,,,,,5.26,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120747,,,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,56.67,,,,,,,,,,,,,,,,,,,5.31,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120748,,,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,56.81,,,,,,,,,,,,,,,,,,,5.09,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120749,,,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,56.80,,,,,,,,,,,,,,,,,,,5.06,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.00,935.00,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120750,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,56.51,,,,,,,,,,,,,,,,,,,5.44,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120751,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,54.96,,,,,,,,,,,,,,,,,,,4.34,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120752,,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,56.08,,,,,,,,,,,,,,,,,,,5.69,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120753,,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,56.10,,,,,,,,,,,,,,,,,,,5.80,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120754,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,54.50,,,,,,,,,,,,,,,,,,,5.30,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120755,,,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.30,,,,,,,,,,,,,,,,,,,4.70,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120756,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.00,,,,,,,,,,,,,,,,,,,4.69,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120757,,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,52.77,,,,,,,,,,,,,,,,,,,4.83,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120758,,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,52.80,,,,,,,,,,,,,,,,,,,4.78,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
