IWG1_NAMES,TIME,LATref,LONref,ALTref,GPS_GeoidHt.3,ALTPAft.d,AltRaft.1,GS.d,TAS.d,IAS.d,MACH.d,GSZref,THDGref,TRK.d,DA.d,PITCHref,ROLLref,SA.d,AA.d,TA.d,TD.c,TTMref,PS.c,PQ.c,PCAB.1,WS.d,WD.d,UWZ.d,none,none,none,none,FLID,MISSIONID,STORMID,AccZfilterI-GPS.1,AccZfilterI-GPS.2,ACCZref,AccZI-GPS.1,AccZI-GPS.2,AltBCADDU.1,ALTGA.d,AltGPS.1,AltGPS.2,AltGPS.3,AltGPS.4,AltI-GPS.1,AltI-GPS.2,ALTPA.d,AltRa.1,AltRa.2,AltRa1.c,AltRa2.c,ASfmrWS.1,ASfmrRainRate.1,ASfmrTB.1,ASfmrTB.2,ASfmrTB.3,ASfmrTB.4,ASfmrTB.5,ASfmrTB.6,COURSEcorr.d,DV.d,GPS_AltErr.3,GPS_AltErr.4,GSXref,GSYref,GPS_Quality.3,GPS_Quality.4,HT.d,HUM_ABS.d,HUM_REL.d,IASkt.d,LatGPS.1,LatGPS.2,LatGPS.3,LatGPS.4,LatI-GPS.1,LatI-GPS.2,LonGPS.1,LonGPS.2,LonGPS.3,LonGPS.4,LonI-GPS.1,LonI-GPS.2,MDSHOUR.1,MDSMINUTE.1,MDSSECOND.1,MR.d,PDALPHA.1,PDALPHA.2,PDBETA.1,PDBETA.2,PitchI-GPS.1,PitchI-GPS.2,PitchI-GPS.3,PitchI-GPS.4,PQALPHA.1,PQBETA.1,PQM.1,PQM.2,PQM.3,PQM.4,PSM.1,PSM.2,PSURF.d,PTM.1,RollI-GPS.1,RollI-GPS.2,RollI-GPS.3,RollI-GPS.4,SfmrRainRate.1,SfmrT.6,SfmrT.7,SfmrWS.1,SST.1,Salinity.1,TASkt.d,TDM.1,TDM.2,TDM.3,THdgI-GPS.1,THdgI-GPS.2,THdgI-GPS.3,THdgI-GPS.4,THETA.d,THETAE.d,THETAV.d,TRadD.1,TRadS.1,TRKdesired.d,TTM.1,TTM.2,TVIRT.d
IWG1,20200117T120712,,,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,55.41,,,,,,,,,,,,,,,,,,,3.67,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120713,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,55.08,,,,,,,,,,,,,,,,,,,3.81,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120714,,,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,55.65,,,,,,,,,,,,,,,,,,,3.54,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120715,,,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,55.33,,,,,,,,,,,,,,,,,,,4.93,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.00,935.00,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120716,,,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,58.14,,,,,,,,,,,,,,,,,,,9.29,,,,8.60,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120717,,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,58.40,,,,,,,,,,,,,,,,,,,7.86,,,,8.20,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120718,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,57.97,,,,,,,,,,,,,,,,,,,8.81,,,,7.80,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120719,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.62,,,,,,,,,,,,,,,,,,,3.18,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120721,,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.52,,,,,,,,,,,,,,,,,,,3.22,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120722,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.60,,,,,,,,,,,,,,,,,,,3.07,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120723,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.60,,,,,,,,,,,,,,,,,,,3.19,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120724,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.58,,,,,,,,,,,,,,,,,,,3.31,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120725,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.73,,,,,,,,,,,,,,,,,,,4.81,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120726,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.60,,,,,,,,,,,,,,,,,,,3.36,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120727,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.60,,,,,,,,,,,,,,,,,,,3.53,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120728,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.56,,,,,,,,,,,,,,,,,,,3.31,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
