FileType,AVAPS II Data
FileFormat,CSV
MessageType,3
Comment: This file contains raw and derived data for the AVAPS II Sonde Type specified above.
Comment: Sonde data frames are organized into data blocks ending with a <name> BLOCK error flag.
Comment: BLOCK error flag values: 0=no bit errors; 1=bit error(s); -999=block data missing.
Comment: Missing data or out of range data value flag: -999.
Comment: The Date & Time (UTC) column is formatted as an ISO-8601 string.
Labels,Data Date & Time (UTC),Data Time (sec),Frame Time (sec),Frame Type,Frame Count,FRAME BLOCK error (0-1),PTU Time (sec),RSS421 Pressure (mb),RSS421 Air Temp (C),RSS421 RH (%),RSS421 RH Temp (C),Mixing Ratio (g/Kg),Dewpoint Temp (C),Virtual Temp (C),Potential Temp (K),Equiv Potential Temp (K),PTU Vertical Velocity (m/s),Geopotential Altitude (m),PTU BLOCK error (0-1),GPS VEL Time (sec),GPS Wind Direction (deg),GPS Wind Speed (m/s),GPS U Wind (m/s),GPS V Wind (m/s),GPS W.S. Accuracy (m/s),GPS Vert Velocity (m/s),GPS MSL Altitude (m),GPS SOG (km/h),GPS COG (deg),GPS Satellites,GPS Fix Type,GPS VEL CRC-16,GPS VEL BLOCK error (0-1),GPS Longitude (deg),GPS Latitude (deg),GPS Horizontal Accuracy,GPS Vertical Accuracy,GPS POS CRC-16,GPS POS BLOCK error (0-1),Sea Surface Temp (C) ,SST (body temp) (C) ,Spare 1 (U16),Spare 2 (U16),Spare 3 (U16),Spare 4 (U16),Spare 5 (U16),Spare 6 (U16),Spare 7 (U16),PTU Module Status (U16),PTU Module Errors (U16),Parachute L.D. CDS (U16),GPS Resets Count (U8),GPS Loop Speed (U8),GPS Tracking Position (U8),MISC CRC-16,MISC BLOCK error (0-1),Sonde ID,Launch Detect Count,Battery Voltage (vdc),RSS421 Internal Temp (C),Revision Control,ENGR CRC-16,ENGR BLOCK error (0-1)
Data,2020-01-22 15:13:56.000Z,2.5,2.5,3,142,0,2.5,942.807495,27.721163,17.560185,32.072109,4.339646,0.919806,28.512868,305.981789,317.165058,-999,-999,0,2.5,212.96,192.77,104.877174,161.743783,0.14,9.15,9268.04,192.77,32.96,11,3,12218,0,-58.578414,13.842558,0.79,1.03,58349,0,0,0,0,0,4096,0,0,0,0,4104,0,20067,4,0,47,27211,1,192510289,0,6.033,27.70083,16690,44223,0
Data,2020-01-22 15:13:56.250Z,2.75,2.5,3,142,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2.75,212.97,192.78,104.910844,161.733865,0.14,9.23,9270.43,192.78,32.97,11,3,37657,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.033,27.70083,16690,44223,0
Data,2020-01-22 15:13:56.500Z,3,3,3,143,0,3,942.774536,27.721682,17.897149,32.226009,4.423803,1.184429,28.528673,305.985376,317.389624,-999,-999,0,3,213,192.79,105.00096,161.687299,0.14,9.23,9272.83,192.79,33,11,3,8899,0,-58.57793,13.843288,0.78,1.02,30126,0,0,0,0,0,0,0,0,0,0,4104,0,20090,4,0,47,59283,0,192510289,0,5.923,27.7351,16690,16156,0
Data,2020-01-22 15:13:56.750Z,3.25,3,3,143,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3.25,213.02,192.79,105.057393,161.650637,0.14,9.24,9275.28,192.79,33.02,11,3,44095,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,5.923,27.7351,16690,16156,0
Data,2020-01-22 15:13:57.000Z,3.5,3.5,3,144,0,3.5,942.633545,27.708408,18.11768,32.359097,4.475879,1.344144,28.524821,305.984965,317.526466,-999,-999,0,3.5,213.05,192.78,105.136565,161.587225,0.14,9.26,9277.63,192.78,33.05,11,3,10141,0,-58.577444,13.844018,0.77,1.01,39524,0,0,0,0,0,0,0,0,0,0,4104,0,20098,4,0,47,27017,0,192510289,0,6.071,27.70083,16690,32624,0
Data,2020-01-22 15:13:57.250Z,3.75,3.5,3,144,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3.75,213.08,192.81,105.237531,161.55729,0.14,9.18,9279.82,192.81,33.08,11,3,33833,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.071,27.70083,16690,32624,0
Data,2020-01-22 15:13:57.500Z,4,4,3,145,0,4,942.644592,27.650305,13.388018,32.426849,3.289938,-2.845466,28.250997,305.924846,314.366539,-999,-999,0,4,213.11,192.8,105.316646,161.49379,0.2,9.1,9282.22,192.8,33.11,11,3,12153,0,-58.576958,13.844747,0.77,1,30111,0,0,0,0,0,0,0,0,0,0,4104,0,20100,4,0,47,61614,0,192510289,0,6.058,27.7351,16690,2716,0
Data,2020-01-22 15:13:57.750Z,4.25,4,3,145,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,4.25,213.02,192.16,104.714086,161.122394,0.23,11.19,9284.76,192.16,33.02,11,3,4175,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.058,27.7351,16690,2716,0
Data,2020-01-22 15:13:58.000Z,4.5,4.5,3,146,0,4.5,942.550842,27.387678,14.477364,32.503876,3.504871,-1.996601,28.026917,305.666439,314.668042,-999,-999,0,4.5,213.14,192.72,105.357454,161.371637,0.28,9.56,9287.32,192.72,33.14,8,3,33334,0,-58.576473,13.845474,0.88,1.14,48249,0,0,0,0,0,0,0,0,0,0,4104,0,20094,4,0,46,14153,0,192510289,0,6.058,27.7351,16690,2716,0
Data,2020-01-22 15:13:58.250Z,4.75,4.5,3,146,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,4.75,213.18,192.76,105.491978,161.331523,0.17,9.17,9289.68,192.76,33.18,10,3,41754,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.058,27.7351,16690,2716,0
