AVAPS-LOG,UTC Date & Time,Session Time,Channel,Event or Error Message,Calling Context
AVAPS-LOG,2020-01-22 15:20:41.852Z,1017.396,3,Sounding START request
AVAPS-LOG,2020-01-22 15:20:42.099Z,1017.643,3,Sounding files created
AVAPS-LOG,2020-01-22 15:21:02.495Z,1038.039,3,Sounding frequency 404.00 selected by operator
AVAPS-LOG,2020-01-22 15:21:26.082Z,1061.626,,BYTE COUNT MISMATCH from AVAPS II DROPSONDE card after command  on COM 27 -- Expected Length: 3 Actual Length: 25 Received String: GPS ublox message error[crlf]
AVAPS-LOG,2020-01-22 15:21:26.555Z,1062.099,,BYTE COUNT MISMATCH from AVAPS II DROPSONDE card after command  on COM 27 -- Expected Length: 3 Actual Length: 25 Received String: GPS ublox message error[crlf]
AVAPS-LOG,2020-01-22 15:21:27.035Z,1062.579,,BYTE COUNT MISMATCH from AVAPS II DROPSONDE card after command  on COM 27 -- Expected Length: 3 Actual Length: 25 Received String: GPS ublox message error[crlf]
AVAPS-LOG,2020-01-22 15:21:27.035Z,1062.579,,Sonde 193430464 GPS Aiding FAILED on message 1 of 1 after 3 attempts.
AVAPS-LOG,2020-01-22 15:23:11.546Z,1167.090,2,Sonde 192510299 Launch Detect; Launch Time 2020-01-22 15:23:07.395; Dfile Name D20200122_152307.2
AVAPS-LOG,2020-01-22 15:23:11.547Z,1167.091,2,Sounding Launch Obs identified OK; LLA source is Aircraft Data System
AVAPS-LOG,2020-01-22 15:23:37.555Z,1193.099,3,Sonde 193430464 factory pressure error value is 0.000 mb
AVAPS-LOG,2020-01-22 15:23:39.366Z,1194.910,3,Sonde 193430464 Preview OK by operator
AVAPS-LOG,2020-01-22 15:24:04.594Z,1220.138,3,Sounding data collection started by operator
AVAPS-LOG,2020-01-22 15:24:14.043Z,1229.588,3,CHANNEL 3 READY for launch
AVAPS-LOG,2020-01-22 15:24:17.494Z,1233.039,4,Sounding START request
AVAPS-LOG,2020-01-22 15:24:17.899Z,1233.443,4,Sounding files created
AVAPS-LOG,2020-01-22 15:24:24.793Z,1240.338,4,Sounding frequency 404.20 selected by operator
AVAPS-LOG,2020-01-22 15:24:49.812Z,1265.356,,BYTE COUNT MISMATCH from AVAPS II DROPSONDE card after command  on COM 27 -- Expected Length: 3 Actual Length: 25 Received String: GPS ublox message error[crlf]
AVAPS-LOG,2020-01-22 15:24:50.285Z,1265.829,,BYTE COUNT MISMATCH from AVAPS II DROPSONDE card after command  on COM 27 -- Expected Length: 3 Actual Length: 25 Received String: GPS ublox message error[crlf]
AVAPS-LOG,2020-01-22 15:24:50.756Z,1266.300,,BYTE COUNT MISMATCH from AVAPS II DROPSONDE card after command  on COM 27 -- Expected Length: 3 Actual Length: 25 Received String: GPS ublox message error[crlf]
AVAPS-LOG,2020-01-22 15:24:50.756Z,1266.300,,Sonde 192510109 GPS Aiding FAILED on message 1 of 1 after 3 attempts.
AVAPS-LOG,2020-01-22 15:25:24.805Z,1300.349,4,Sonde 192510109 factory pressure error value is 0.000 mb
